# Height 2D map of mirror JF061004
# measured on three tips placed on the two ends
# physical dimensions: 900x75x75 (l x w x t) (mmxmmxmm)
# clear aperture: 850x20 (mmxmm)
# measured using grazing incidence Fizeau interferometry
# average of 2500
# no other corrections
# 
# x position(m);y position(m);height(m)
# 
-1.82973e-01 -9.74550e-03 1.76199e-08
-1.81948e-01 -9.74550e-03 1.87101e-08
-1.80923e-01 -9.74550e-03 1.90092e-08
-1.79897e-01 -9.74550e-03 1.82733e-08
-1.78872e-01 -9.74550e-03 1.83036e-08
-1.77847e-01 -9.74550e-03 2.16579e-08
-1.76822e-01 -9.74550e-03 2.28540e-08
-1.75797e-01 -9.74550e-03 2.21944e-08
-1.74772e-01 -9.74550e-03 2.32404e-08
-1.73747e-01 -9.74550e-03 2.19783e-08
-1.72722e-01 -9.74550e-03 2.29879e-08
-1.71697e-01 -9.74550e-03 2.33393e-08
-1.70672e-01 -9.74550e-03 2.30380e-08
-1.69647e-01 -9.74550e-03 2.39179e-08
-1.68622e-01 -9.74550e-03 2.30532e-08
-1.67597e-01 -9.74550e-03 2.02355e-08
-1.66572e-01 -9.74550e-03 2.03528e-08
-1.65547e-01 -9.74550e-03 2.11775e-08
-1.64522e-01 -9.74550e-03 2.45393e-08
-1.63497e-01 -9.74550e-03 2.53380e-08
-1.62472e-01 -9.74550e-03 2.44153e-08
-1.61446e-01 -9.74550e-03 2.22915e-08
-1.60421e-01 -9.74550e-03 2.11607e-08
-1.59396e-01 -9.74550e-03 2.41788e-08
-1.58371e-01 -9.74550e-03 2.49744e-08
-1.57346e-01 -9.74550e-03 2.51702e-08
-1.56321e-01 -9.74550e-03 2.49585e-08
-1.55296e-01 -9.74550e-03 2.68799e-08
-1.54271e-01 -9.74550e-03 2.54442e-08
-1.53246e-01 -9.74550e-03 2.42984e-08
-1.52221e-01 -9.74550e-03 2.50500e-08
-1.51196e-01 -9.74550e-03 2.65889e-08
-1.50171e-01 -9.74550e-03 2.67986e-08
-1.49146e-01 -9.74550e-03 2.94881e-08
-1.48121e-01 -9.74550e-03 3.14898e-08
-1.47096e-01 -9.74550e-03 3.19702e-08
-1.46071e-01 -9.74550e-03 3.38580e-08
-1.45046e-01 -9.74550e-03 3.40182e-08
-1.44021e-01 -9.74550e-03 2.90173e-08
-1.42995e-01 -9.74550e-03 3.01792e-08
-1.41970e-01 -9.74550e-03 3.16255e-08
-1.40945e-01 -9.74550e-03 2.92510e-08
-1.39920e-01 -9.74550e-03 2.92752e-08
-1.38895e-01 -9.74550e-03 2.95490e-08
-1.37870e-01 -9.74550e-03 2.82989e-08
-1.36845e-01 -9.74550e-03 3.03808e-08
-1.35820e-01 -9.74550e-03 3.21222e-08
-1.34795e-01 -9.74550e-03 3.21772e-08
-1.33770e-01 -9.74550e-03 3.08277e-08
-1.32745e-01 -9.74550e-03 2.99204e-08
-1.31720e-01 -9.74550e-03 2.95828e-08
-1.30695e-01 -9.74550e-03 2.93445e-08
-1.29670e-01 -9.74550e-03 3.09185e-08
-1.28645e-01 -9.74550e-03 3.24293e-08
-1.27620e-01 -9.74550e-03 3.36639e-08
-1.26595e-01 -9.74550e-03 3.53067e-08
-1.25569e-01 -9.74550e-03 3.67244e-08
-1.24544e-01 -9.74550e-03 3.57342e-08
-1.23519e-01 -9.74550e-03 3.37046e-08
-1.22494e-01 -9.74550e-03 3.50920e-08
-1.21469e-01 -9.74550e-03 3.25034e-08
-1.20444e-01 -9.74550e-03 3.40118e-08
-1.19419e-01 -9.74550e-03 3.19105e-08
-1.18394e-01 -9.74550e-03 3.11354e-08
-1.17369e-01 -9.74550e-03 3.37616e-08
-1.16344e-01 -9.74550e-03 3.51827e-08
-1.15319e-01 -9.74550e-03 3.64640e-08
-1.14294e-01 -9.74550e-03 3.62831e-08
-1.13269e-01 -9.74550e-03 3.92040e-08
-1.12244e-01 -9.74550e-03 3.56663e-08
-1.11219e-01 -9.74550e-03 3.64600e-08
-1.10194e-01 -9.74550e-03 3.73199e-08
-1.09169e-01 -9.74550e-03 3.80511e-08
-1.08144e-01 -9.74550e-03 3.98133e-08
-1.07118e-01 -9.74550e-03 3.85373e-08
-1.06093e-01 -9.74550e-03 3.82940e-08
-1.05068e-01 -9.74550e-03 3.92922e-08
-1.04043e-01 -9.74550e-03 3.81054e-08
-1.03018e-01 -9.74550e-03 3.81959e-08
-1.01993e-01 -9.74550e-03 4.18298e-08
-1.00968e-01 -9.74550e-03 4.17069e-08
-9.99431e-02 -9.74550e-03 4.01473e-08
-9.89180e-02 -9.74550e-03 4.14209e-08
-9.78929e-02 -9.74550e-03 4.12746e-08
-9.68679e-02 -9.74550e-03 4.34561e-08
-9.58428e-02 -9.74550e-03 4.40258e-08
-9.48178e-02 -9.74550e-03 4.50648e-08
-9.37927e-02 -9.74550e-03 4.37862e-08
